"filename", "language", "Dart", "YAML", "Markdown", "Ruby", "C++", "Swift", "XML", "Gradle", "Java Properties", "Objective-C", "CMake", "JSON", "HTML", "Java", "Kotlin", "PowerShell", "Kotlinscript", "comment", "blank", "total"
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_screen\widgets\components\bottom_message_bar.dart", "Dart", 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 237
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_screen\widgets\components\chat_appbar.dart", "Dart", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 128
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_screen\widgets\components\date_chip.dart", "Dart", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 100
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_screen\widgets\components\emoji_board.dart", "Dart", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_screen\widgets\components\message_bubble\content\audio_message_view.dart", "Dart", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 47
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_screen\widgets\components\message_bubble\content\document_message_view.dart", "Dart", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 126
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_screen\widgets\components\message_bubble\content\gif_message_view.dart", "Dart", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 63
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_screen\widgets\components\message_bubble\content\image_message_view.dart", "Dart", 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 24, 274
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_screen\widgets\components\message_bubble\content\thread_message_view.dart", "Dart", 285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22, 312
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_screen\widgets\components\message_bubble\helpers\bubble_color_scheme.dart", "Dart", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 141
